Camino;Código del organismo;Nombre del organismo;Año Informado;Trimestre Informado;Item;Unidad Monetaria;Monto
Pagina Aportes, donaciones, asignaciones y otros/2016/Oct - Dic;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Aportes del Estado (art. 33 bis Ley N°18603);Pesos;9929544
Pagina Aportes, donaciones, asignaciones y otros/2016/Oct - Dic;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Asignaciones testamentarias;Pesos;0
Pagina Aportes, donaciones, asignaciones y otros/2016/Oct - Dic;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Cotizaciones;Pesos;0
Pagina Aportes, donaciones, asignaciones y otros/2016/Oct - Dic;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Donaciones;Pesos;0
Pagina Aportes, donaciones, asignaciones y otros/2016/Oct - Dic;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Frutos y productos de los Bienes Patrimoniales;Pesos;0
Pagina Aportes, donaciones, asignaciones y otros/2016/Oct - Dic;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Otras Transferencias privadas;Pesos;0
Pagina Aportes, donaciones, asignaciones y otros/2016/Oct - Dic;PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Otras Transferencias públicas;Pesos;7241839
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2017/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2016;Oct - Dic;Aportes del Estado (art. 33 bis Ley N°18603);Pesos;85232047
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2017/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2016;Oct - Dic;Aportes del Estado (art. 33 bis Ley N°18603);Pesos;85232047
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2017/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2016;Oct - Dic;Aportes del Estado (art. 33 bis Ley N°18603);Pesos;85232047
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2016/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2016;Oct - Dic;Aportes del Estado (art. 33 bis Ley N°18603);Pesos;85232047
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2016/Octubre - Diciembre;PP007;Partido Comunista de Chile (PCCH);2016;Oct - Dic;Asignaciones testamentarias;Pesos;0
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2017/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2016;Oct - Dic;Asignaciones testamentarias;Pesos;0
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2017/Julio - Septiembre;PP007;Partido Comunista de Chile (PCCH);2016;Oct - Dic;Asignaciones testamentarias;Pesos;0
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2017/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2016;Oct - Dic;Asignaciones testamentarias;Pesos;0
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2017/Enero - Marzo;PP007;Partido Comunista de Chile (PCCH);2016;Oct - Dic;Cotizaciones;Pesos;49736945
Aportes, donaciones, asignaciones y otros/Aportes, donaciones, asignaciones y otros año 2017/Abril - Junio;PP007;Partido Comunista de Chile (PCCH);2016;Oct - Dic;Cotizaciones;Pesos;49736945
