"uriActivo","nombreActivo","fichaActivoInfoLobby","uriTipo","uriPersona","uriAudiencia","CodigoURIPersona","nombre","tipoActivo","uriOrganismo","uriFecha","organismo","IDORPortal","uriInicio","anio","trimestre"
"http://datos.infolobby.cl/infolobby/Activo/1690094","Lorena Fam Won","http://www.infolobby.cl/Ficha/SujetoActivo/02caed56904b2eea584084f86522e515","http://datos.infolobby.cl/infolobby/TipoActivo/1","http://datos.infolobby.cl/infolobby/persona/02caed56904b2eea584084f86522e515","http://datos.infolobby.cl/infolobby/registroaudiencia/mu0212885581","02caed56904b2eea584084f86522e515","Lorena Fam Won","Lobista","http://datos.infolobby.cl/infolobby/institucion/mu021","nodeID://b1727196416","MUNICIPALIDAD DE CALDERA","mu021","nodeID://b1743583992",2016,2
"http://datos.infolobby.cl/infolobby/Activo/1690095","Carolina Fuentes Flores","http://www.infolobby.cl/Ficha/SujetoActivo/35ca19fb08181da119296f39625e0ebe","http://datos.infolobby.cl/infolobby/TipoActivo/1","http://datos.infolobby.cl/infolobby/persona/35ca19fb08181da119296f39625e0ebe","http://datos.infolobby.cl/infolobby/registroaudiencia/mu0212885581","35ca19fb08181da119296f39625e0ebe","Carolina Fuentes Flores","Lobista","http://datos.infolobby.cl/infolobby/institucion/mu021","nodeID://b1727196416","MUNICIPALIDAD DE CALDERA","mu021","nodeID://b1743583992",2016,2
"http://datos.infolobby.cl/infolobby/Activo/1595850","Mauricio Antonio Sepúlveda Seguel","http://www.infolobby.cl/Ficha/SujetoActivo/90448441cbd248bee1c39479f795407f","http://datos.infolobby.cl/infolobby/TipoActivo/1","http://datos.infolobby.cl/infolobby/persona/90448441cbd248bee1c39479f795407f","http://datos.infolobby.cl/infolobby/registroaudiencia/mu2042766031","90448441cbd248bee1c39479f795407f","Mauricio Antonio Sepúlveda Seguel","Lobista","http://datos.infolobby.cl/infolobby/institucion/mu204","nodeID://b1727155410","MUNICIPALIDAD DE PARRAL","mu204","nodeID://b1743563489",2016,2
"http://datos.infolobby.cl/infolobby/Activo/1803515","Claudia Miralles Abarca","http://www.infolobby.cl/Ficha/SujetoActivo/be3a73d69443aeed734a3d1736d5f61d","http://datos.infolobby.cl/infolobby/TipoActivo/1","http://datos.infolobby.cl/infolobby/persona/be3a73d69443aeed734a3d1736d5f61d","http://datos.infolobby.cl/infolobby/registroaudiencia/ah0053150621","be3a73d69443aeed734a3d1736d5f61d","Claudia Miralles Abarca","Lobista","http://datos.infolobby.cl/infolobby/institucion/ah005","nodeID://b1727234002","FISCALÍA NACIONAL ECONÓMICA (FNE)","ah005","nodeID://b1743602785",2016,2
"http://datos.infolobby.cl/infolobby/Activo/2061478","Francisco Pinto","http://www.infolobby.cl/Ficha/SujetoActivo/2796a8d6ef9a7efbfa7aefee58c88605","http://datos.infolobby.cl/infolobby/TipoActivo/1","http://datos.infolobby.cl/infolobby/persona/2796a8d6ef9a7efbfa7aefee58c88605","http://datos.infolobby.cl/infolobby/registroaudiencia/ad0133657501","2796a8d6ef9a7efbfa7aefee58c88605","Francisco Pinto","Lobista","http://datos.infolobby.cl/infolobby/institucion/ad013","nodeID://b1727334038","DIRECCIÓN GENERAL DE MOVILIZACIÓN NACIONAL","ad013","nodeID://b1743652803",2016,2
"http://datos.infolobby.cl/infolobby/Activo/2061461","André Phillippe Goujon Maucher","http://www.infolobby.cl/Ficha/SujetoActivo/e4db217d2a48332178d5fac7817b6404","http://datos.infolobby.cl/infolobby/TipoActivo/1","http://datos.infolobby.cl/infolobby/persona/e4db217d2a48332178d5fac7817b6404","http://datos.infolobby.cl/infolobby/registroaudiencia/ad0133647951","e4db217d2a48332178d5fac7817b6404","André Phillippe Goujon Maucher","Lobista","http://datos.infolobby.cl/infolobby/institucion/ad013","nodeID://b1727334022","DIRECCIÓN GENERAL DE MOVILIZACIÓN NACIONAL","ad013","nodeID://b1743652795",2016,2
"http://datos.infolobby.cl/infolobby/Activo/2061491","Francisco Pinto","http://www.infolobby.cl/Ficha/SujetoActivo/2796a8d6ef9a7efbfa7aefee58c88605","http://datos.infolobby.cl/infolobby/TipoActivo/1","http://datos.infolobby.cl/infolobby/persona/2796a8d6ef9a7efbfa7aefee58c88605","http://datos.infolobby.cl/infolobby/registroaudiencia/ad0133663551","2796a8d6ef9a7efbfa7aefee58c88605","Francisco Pinto","Lobista","http://datos.infolobby.cl/infolobby/institucion/ad013","nodeID://b1727334060","DIRECCIÓN GENERAL DE MOVILIZACIÓN NACIONAL","ad013","nodeID://b1743652814",2016,2
"http://datos.infolobby.cl/infolobby/Activo/2061459","Francisco Jose Martinez Gonel","http://www.infolobby.cl/Ficha/SujetoActivo/9bca3cfc8d71b7e78687bd9363d9d3e1","http://datos.infolobby.cl/infolobby/TipoActivo/1","http://datos.infolobby.cl/infolobby/persona/9bca3cfc8d71b7e78687bd9363d9d3e1","http://datos.infolobby.cl/infolobby/registroaudiencia/ad0133647951","9bca3cfc8d71b7e78687bd9363d9d3e1","Francisco Jose Martinez Gonel","Lobista","http://datos.infolobby.cl/infolobby/institucion/ad013","nodeID://b1727334022","DIRECCIÓN GENERAL DE MOVILIZACIÓN NACIONAL","ad013","nodeID://b1743652795",2016,2
"http://datos.infolobby.cl/infolobby/Activo/2140131","Luis Ramírez","http://www.infolobby.cl/Ficha/SujetoActivo/5e8c3d7cbdf6d08b7b368007ae934bed","http://datos.infolobby.cl/infolobby/TipoActivo/1","http://datos.infolobby.cl/infolobby/persona/5e8c3d7cbdf6d08b7b368007ae934bed","http://datos.infolobby.cl/infolobby/registroaudiencia/mu193892691","5e8c3d7cbdf6d08b7b368007ae934bed","Luis Ramírez","Lobista","http://datos.infolobby.cl/infolobby/institucion/mu193","nodeID://b1727372410","MUNICIPALIDAD DE PADRE HURTADO","mu193","nodeID://b1743671989",2016,2
"http://datos.infolobby.cl/infolobby/Activo/1688821","Alejandro Bravo Gutierrez","http://www.infolobby.cl/Ficha/SujetoActivo/ceea0ec744cf2585e4ef95f46d45a120","http://datos.infolobby.cl/infolobby/TipoActivo/1","http://datos.infolobby.cl/infolobby/persona/ceea0ec744cf2585e4ef95f46d45a120","http://datos.infolobby.cl/infolobby/registroaudiencia/mu0072936651","ceea0ec744cf2585e4ef95f46d45a120","Alejandro Bravo Gutierrez","Lobista","http://datos.infolobby.cl/infolobby/institucion/mu007","nodeID://b1727195140","MUNICIPALIDAD DE ANDACOLLO","mu007","nodeID://b1743583354",2016,2
