Año;Trimestre;codigoDonativo;descripcion;pasivo;codigoPasivo;organismo;IdOrPortal;cargo;fechaDonativo;ocasion
2015;1;ab0019043;"1 ejemplar libro  ""8,8 Richter .- El mayor desafío de los aseguradores chilenos""";Mahmud Aleuy Peña y Lillo;AB001431;SUBSECRETARÍA DEL INTERIOR;ab001;Subsecretario(a);16-03-2015;Conmemoración del 5° Aniversario del terremoto  27 febrero 2010
2015;1;ab0024313;Revista Capital N° 388;Ricardo Cifuentes Lillo;AB002648;SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE);ab002;Subsecretario(a);02-01-2015;Cortesía
2015;1;ab0024463;Caja con 9 DVD de películas y sobre 91 grs. de palomitas de maíz para microondas. ;Ricardo Cifuentes Lillo;AB002648;SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE);ab002;Subsecretario(a);02-01-2015;Saludo de fin de año
2015;1;ab0025023;Dos entradas Gala del Musical Peter Pan;Ricardo Cifuentes Lillo;AB002648;SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE);ab002;Subsecretario(a);06-01-2015;Cortesía enviada por correo. Subsecretario dona entradas a la Asociación de Funcionarios de la SUBDERE. 
2015;1;ab0025573;Directorio Nacional de Empresas y Ejecutivos;Ricardo Cifuentes Lillo;AB002648;SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE);ab002;Subsecretario(a);12-01-2015;Cortesía enviada por correo
2015;1;ab0025653;Adorno típico de madera (carreta de bueyes), 1 kg. de longanizas y 1 botella de vino.;Ricardo Cifuentes Lillo;AB002648;SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE);ab002;Subsecretario(a);09-01-2015;Reunión con Comité Ñuble Región
2015;1;ab0025843;Revista América Economía;Ricardo Cifuentes Lillo;AB002648;SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE);ab002;Subsecretario(a);12-01-2015;Cortesía
2015;1;ab0028763;Revista América Economía;Ricardo Cifuentes Lillo;AB002648;SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE);ab002;Subsecretario(a);20-02-2015;Cortesía
2015;1;ab0029003;"Invitación para canje de dos entradas Concierto Sinfónico Coral ""Réquiem de Mozart"".";Ricardo Cifuentes Lillo;AB002648;SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE);ab002;Subsecretario(a);12-03-2015;Cortesía enviada por correo. Subsecretario dona entradas a la Asociación de Funcionarios de la SUBDERE. 
2015;1;ab0029933;Dos textos sobre restauración patrimonial.;Ricardo Cifuentes Lillo;AB002648;SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE);ab002;Subsecretario(a);20-03-2015;Visita en terreno a obras del Palacio Rioja, Viña del Mar.
2015;1;ab09310363;Calendarios año 2015 (2);Antonio Frey Valdés;AB093655;SUBSECRETARÍA DE PREVENCIÓN DE DELITOS;ab093;Subsecretario(a);16-03-2015;Inicio de año
2015;1;ab0935193;"Set de 9 Películas Chilenas ""Cine Chileno 2014""";Antonio Frey Valdés;AB093655;SUBSECRETARÍA DE PREVENCIÓN DE DELITOS;ab093;Subsecretario(a);06-01-2015;Saludo por fiestas de fin de año
2015;1;ab0935903;"Libro ""El Bosque su gente y su historia";Antonio Frey Valdés;AB093655;SUBSECRETARÍA DE PREVENCIÓN DE DELITOS;ab093;Subsecretario(a);09-01-2015;Saludo por fiestas de fin de año
