Año;Trimestre;codigoDonativo;descripcion;pasivo;codigoPasivo;organismo;IdOrPortal;cargo;fechaDonativo;ocasion;;;
2018;4;ab001295823;Libro;Andrés Chadwick Piñera;AB001173929;SUBSECRETARÍA DEL INTERIOR;ab001;Ministro(a);19-10-2018;Regalo cortesía;;;
2018;4;ab001305773;Botella de Vino.;Andrés Chadwick Piñera;AB001173929;SUBSECRETARÍA DEL INTERIOR;ab001;Ministro(a);13-12-2018;Regalo cortesía;;;
2018;4;ab001306553;Libro;Andrés Chadwick Piñera;AB001173929;SUBSECRETARÍA DEL INTERIOR;ab001;Ministro(a);17-12-2018;Regalo cortesía;;;
2018;4;ab001306573;Cuadro con fotografía.;Andrés Chadwick Piñera;AB001173929;SUBSECRETARÍA DEL INTERIOR;ab001;Ministro(a);17-12-2018;Regalo cortesía;;;
2018;4;ab001306973;Libro;Andrés Chadwick Piñera;AB001173929;SUBSECRETARÍA DEL INTERIOR;ab001;Ministro(a);18-12-2018;Regalo cortesía;;;
2018;4;ab001307003;Pequeña Caja de Cherries;Andrés Chadwick Piñera;AB001173929;SUBSECRETARÍA DEL INTERIOR;ab001;Ministro(a);18-12-2018;Regalo cortesía;;;
2018;4;ab001308693;Calendario;Andrés Chadwick Piñera;AB001173929;SUBSECRETARÍA DEL INTERIOR;ab001;Ministro(a);20-12-2018;Regalo cortesía;;;
2018;4;ab001308963;Mantel navideño;Andrés Chadwick Piñera;AB001173929;SUBSECRETARÍA DEL INTERIOR;ab001;Ministro(a);20-12-2018;Regalo cortesía;;;
2018;4;ab001308973;Pechera para asados;Andrés Chadwick Piñera;AB001173929;SUBSECRETARÍA DEL INTERIOR;ab001;Ministro(a);20-12-2018;Regalo cortesía;;;
2018;4;ab001309413;Calendario;Andrés Chadwick Piñera;AB001173929;SUBSECRETARÍA DEL INTERIOR;ab001;Ministro(a);21-12-2018;Regalo cortesía;;;
2018;4;ab001310013;Tres Libros;Andrés Chadwick Piñera;AB001173929;SUBSECRETARÍA DEL INTERIOR;ab001;Ministro(a);24-12-2018;Regalo cortesía;;;
2018;4;ab001311043;Licor;Andrés Chadwick Piñera;AB001173929;SUBSECRETARÍA DEL INTERIOR;ab001;Ministro(a);26-12-2018;Regalo cortesía;;;
2018;4;ab001297903;Libro;Andrés Chadwick Piñera;AB001173929;SUBSECRETARÍA DEL INTERIOR;ab001;Ministro(a);29-10-2018;Regalo cortesía;;;
2018;4;ab001299923;Libro;Andrés Chadwick Piñera;AB001173929;SUBSECRETARÍA DEL INTERIOR;ab001;Ministro(a);14-11-2018;Regalo cortesía;;;
2018;4;ab001300523;Corbata, pañuelo, juego de tacitas para té, tres adornos decorativos.;Andrés Chadwick Piñera;AB001173929;SUBSECRETARÍA DEL INTERIOR;ab001;Ministro(a);20-11-2018;Regalo cortesía;;;
2018;4;ab001301103;Libro;Andrés Chadwick Piñera;AB001173929;SUBSECRETARÍA DEL INTERIOR;ab001;Ministro(a);22-11-2018;Regalo cortesía;;;
2018;4;ab001301403;Libro;Andrés Chadwick Piñera;AB001173929;SUBSECRETARÍA DEL INTERIOR;ab001;Ministro(a);26-11-2018;Regalo cortesía;;;
2018;4;ab001301413;Libro;Andrés Chadwick Piñera;AB001173929;SUBSECRETARÍA DEL INTERIOR;ab001;Ministro(a);26-11-2018;Regalo cortesía;;;
2018;4;ab002290763;3 CD DE MÚSICA MÁS LA REVISTA DE LA COMUNA DE ÑIQUÉN;Felipe Salaberry;AB002173323;SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE);ab002;Subsecretario(a);01-10-2018;AUDIENCIA EN PALACIO LA MONEDA;;;
