"uriPasivo","codigoPasivo","uriPersona","codigoPersona","nombrePasivo","organismo","IDORPortal","cargo","inicioPasivo","finPasivo"
"http://datos.infolobby.cl/infolobby/pasivo/AG00363541","AG00363541","http://datos.infolobby.cl/infolobby/persona/aca31f0c90be1b5a910414e99fc4f408","aca31f0c90be1b5a910414e99fc4f408","María Elena Hermosilla Pacheco","CONSEJO NACIONAL DE TELEVISIÓN (CNTV)","ag003","Consejero del Consejo Nacional de Televisión",2011-01-18,2019-01-24
"http://datos.infolobby.cl/infolobby/pasivo/AH00178","AH00178","http://datos.infolobby.cl/infolobby/persona/026dbb546a33f58b431093bf7d58577c","026dbb546a33f58b431093bf7d58577c","Luis Felipe Céspedes Cifuentes","SUBSECRETARÍA DE ECONOMÍA","ah001","Ministro",2014-03-11,2017-08-31
"http://datos.infolobby.cl/infolobby/pasivo/AB001443","AB001443","http://datos.infolobby.cl/infolobby/persona/d76c6021ecc7a31cd8ead7fc8469d3f4","d76c6021ecc7a31cd8ead7fc8469d3f4","Rodrigo Julián Peñailillo Briceño","SUBSECRETARÍA DEL INTERIOR","ab001","Ministro",2014-03-11,2015-05-11
"http://datos.infolobby.cl/infolobby/pasivo/AI007222","AI007222","http://datos.infolobby.cl/infolobby/persona/521bef7b34d71448783915c271abc730","521bef7b34d71448783915c271abc730","María Fernanda Villegas Acevedo","SUBSECRETARIA DE EVALUACIÓN SOCIAL","ai007","Ministro",2014-03-11,2015-05-11
"http://datos.infolobby.cl/infolobby/pasivo/AK00144","AK00144","http://datos.infolobby.cl/infolobby/persona/1a5ed50873b4af1dc63835b0e163eeb2","1a5ed50873b4af1dc63835b0e163eeb2","José Antonio Gómez Urrutia","SUBSECRETARÍA DE JUSTICIA","ak001","Ministro",2014-03-11,2015-05-11
"http://datos.infolobby.cl/infolobby/pasivo/AE00185","AE00185","http://datos.infolobby.cl/infolobby/persona/3618f3b9a72b78a54e5c91f413297f5d","3618f3b9a72b78a54e5c91f413297f5d","Alberto  Arenas de Mesa","SUBSECRETARÍA DE HACIENDA","ae001","Ministro",2014-03-11,2015-05-11
"http://datos.infolobby.cl/infolobby/pasivo/AD02260","AD02260","http://datos.infolobby.cl/infolobby/persona/7079c185eb1d143ca6f520e45545bba3","7079c185eb1d143ca6f520e45545bba3","Jorge Alfonso Burgos Varela","SUBSECRETARIA PARA LAS FUERZAS ARMADAS","ad022","Ministro",2014-03-11,2015-05-11
"http://datos.infolobby.cl/infolobby/pasivo/AG00115","AG00115","http://datos.infolobby.cl/infolobby/persona/746a4e50776090ea1f3273011ad50ffc","746a4e50776090ea1f3273011ad50ffc","Álvaro Antonio Elizalde Soto","SUBSECRETARIA GENERAL DE GOBIERNO","ag001","Ministro",2014-03-11,2015-05-11
"http://datos.infolobby.cl/infolobby/pasivo/AB08114458","AB08114458","http://datos.infolobby.cl/infolobby/persona/1fbb87df01f7d6b2b0aedb6dbbb0c6f9","1fbb87df01f7d6b2b0aedb6dbbb0c6f9","Manuel Hernández Vidal","GOBIERNO REGIONAL REGIÓN METROPOLITANA DE SANTIAGO","ab081","Consejero regional",2014-03-11,2018-03-10
"http://datos.infolobby.cl/infolobby/pasivo/AB07911195","AB07911195","http://datos.infolobby.cl/infolobby/persona/422a9826e8dd343a088ced1a6d162ae9","422a9826e8dd343a088ced1a6d162ae9","Fernando Gallardo Pereira","GOBIERNO REGIONAL REGIÓN DE COQUIMBO","ab079","Consejero regional",2014-03-11,2016-07-27
